Timestamp,kWh
2025-01-01,429
2025-01-02,326
2025-01-03,270
2025-01-04,178
2025-01-05,448
2025-01-06,247
2025-01-07,408
2025-01-08,310
2025-01-09,261
2025-01-10,460
2025-01-11,446
2025-01-12,115
2025-01-13,144
2025-01-14,487
2025-01-15,303
2025-01-16,136
2025-01-17,399
2025-01-18,452
2025-01-19,390
2025-01-20,298
2025-01-21,183
2025-01-22,234
2025-01-23,150
2025-01-24,132
2025-01-25,247
2025-01-26,375
2025-01-27,399
2025-01-28,182
2025-01-29,345
2025-01-30,136
2025-01-31,190
2025-02-01,361
2025-02-02,381
2025-02-03,416
2025-02-04,475
2025-02-05,425
2025-02-06,226
2025-02-07,357
2025-02-08,492
2025-02-09,278
2025-02-10,477
2025-02-11,455
2025-02-12,334
2025-02-13,303
2025-02-14,118
2025-02-15,362
2025-02-16,474
2025-02-17,462
2025-02-18,402
2025-02-19,416
2025-02-20,212
2025-02-21,212
2025-02-22,267
2025-02-23,325
2025-02-24,134
2025-02-25,218
2025-02-26,161
2025-02-27,321
2025-02-28,388
2025-03-01,364
