Timestamp,kWh
2025-01-01,225
2025-01-02,436
2025-01-03,145
2025-01-04,268
2025-01-05,143
2025-01-06,206
2025-01-07,146
2025-01-08,280
2025-01-09,320
2025-01-10,367
2025-01-11,318
2025-01-12,478
2025-01-13,406
2025-01-14,412
2025-01-15,350
2025-01-16,348
2025-01-17,356
2025-01-18,464
2025-01-19,321
2025-01-20,318
2025-01-21,433
2025-01-22,357
2025-01-23,152
2025-01-24,459
2025-01-25,485
2025-01-26,107
2025-01-27,492
2025-01-28,495
2025-01-29,137
2025-01-30,349
2025-01-31,468
2025-02-01,246
2025-02-02,468
2025-02-03,174
2025-02-04,177
2025-02-05,432
2025-02-06,332
2025-02-07,232
2025-02-08,202
2025-02-09,228
2025-02-10,219
2025-02-11,168
2025-02-12,357
2025-02-13,132
2025-02-14,382
2025-02-15,414
2025-02-16,222
2025-02-17,111
2025-02-18,406
2025-02-19,317
2025-02-20,482
2025-02-21,279
2025-02-22,102
2025-02-23,307
2025-02-24,275
2025-02-25,298
2025-02-26,198
2025-02-27,118
2025-02-28,257
2025-03-01,327
